;;;;;;
;;ODERZO;;;;
7/5/22;martedì;;;;;
7/6/22;mercoledì;;;;;
7/7/22;giovedì;;;;;
7/8/22;venerdì;;;;;
7/9/22;sabato;;;;;
7/10/22;domenica;;;;;
7/11/22;lunedì;;VERDE;VERDE;;VERDE
7/12/22;martedì;;;;;
7/13/22;mercoledì;;;;;
7/14/22;giovedì;;;;;
7/15/22;venerdì;;;;;
7/16/22;sabato;;;;;
7/17/22;domenica;;;;;
7/18/22;lunedì;VERDE;;;VERDE;
7/19/22;martedì;;;;;
7/20/22;mercoledì;;;;;
7/21/22;giovedì;;;;;
7/22/22;venerdì;;;;;
7/23/22;sabato;;;;;
7/24/22;domenica;;;;;
7/25/22;lunedì;;VERDE;VERDE;;VERDE
7/26/22;martedì;;;;;
7/27/22;mercoledì;;;;;
7/28/22;giovedì;;;;;
7/29/22;venerdì;;;;;
7/30/22;sabato;;;;;
7/31/22;domenica;;;;;
8/1/22;lunedì;VERDE;;;VERDE;
8/2/22;martedì;;;;;
8/3/22;mercoledì;;;;;
8/4/22;giovedì;;;;;
8/5/22;venerdì;;;;;
8/6/22;sabato;;;;;
8/7/22;domenica;;;;;
8/8/22;lunedì;;VERDE;VERDE;;VERDE
8/9/22;martedì;;;;;
8/10/22;mercoledì;;;;;
8/11/22;giovedì;;;;;
8/12/22;venerdì;;;;;
8/13/22;sabato;VERDE;;;VERDE;
8/14/22;domenica;;;;;
8/15/22;lunedì;;;;;
8/16/22;martedì;;;;;
8/17/22;mercoledì;;;;;
8/18/22;giovedì;;;;;
8/19/22;venerdì;;;;;
8/20/22;sabato;;;;;
8/21/22;domenica;;;;;
8/22/22;lunedì;;VERDE;VERDE;;VERDE
8/23/22;martedì;;;;;
8/24/22;mercoledì;;;;;
8/25/22;giovedì;;;;;
8/26/22;venerdì;;;;;
8/27/22;sabato;;;;;
8/28/22;domenica;;;;;
8/29/22;lunedì;VERDE;;;VERDE;
8/30/22;martedì;;;;;
8/31/22;mercoledì;;;;;
9/1/22;giovedì;;;;;
9/2/22;venerdì;;;;;
9/3/22;sabato;;;;;
9/4/22;domenica;;;;;
9/5/22;lunedì;;VERDE;VERDE;;VERDE
9/6/22;martedì;;;;;
9/7/22;mercoledì;;;;;
9/8/22;giovedì;;;;;
9/9/22;venerdì;;;;;
9/10/22;sabato;;;;;
9/11/22;domenica;;;;;
9/12/22;lunedì;VERDE;;;VERDE;
9/13/22;martedì;;;;;
9/14/22;mercoledì;;;;;
9/15/22;giovedì;;;;;
9/16/22;venerdì;;;;;
9/17/22;sabato;;;;;
9/18/22;domenica;;;;;
9/19/22;lunedì;;VERDE;VERDE;;VERDE
9/20/22;martedì;;;;;
9/21/22;mercoledì;;;;;
9/22/22;giovedì;;;;;
9/23/22;venerdì;;;;;
9/24/22;sabato;;;;;
9/25/22;domenica;;;;;
9/26/22;lunedì;VERDE;;;VERDE;
9/27/22;martedì;;;;;
9/28/22;mercoledì;;;;;
9/29/22;giovedì;;;;;
9/30/22;venerdì;;;;;
10/1/22;sabato;;;;;
10/2/22;domenica;;;;;
10/3/22;lunedì;;VERDE;VERDE;;VERDE
10/4/22;martedì;;;;;
10/5/22;mercoledì;;;;;
10/6/22;giovedì;;;;;
10/7/22;venerdì;;;;;
10/8/22;sabato;;;;;
10/9/22;domenica;;;;;
10/10/22;lunedì;VERDE;;;VERDE;
10/11/22;martedì;;;;;
10/12/22;mercoledì;;;;;
10/13/22;giovedì;;;;;
10/14/22;venerdì;;;;;
10/15/22;sabato;;;;;
10/16/22;domenica;;;;;
10/17/22;lunedì;;VERDE;VERDE;;VERDE
10/18/22;martedì;;;;;
10/19/22;mercoledì;;;;;
10/20/22;giovedì;;;;;
10/21/22;venerdì;;;;;
10/22/22;sabato;;;;;
10/23/22;domenica;;;;;
10/24/22;lunedì;VERDE;;;VERDE;
10/25/22;martedì;;;;;
10/26/22;mercoledì;;;;;
10/27/22;giovedì;;;;;
10/28/22;venerdì;;;;;
10/29/22;sabato;;;;;
10/30/22;domenica;;;;;
10/31/22;lunedì;;VERDE;VERDE;;VERDE
11/1/22;martedì;;;;;
11/2/22;mercoledì;;;;;
11/3/22;giovedì;;;;;
11/4/22;venerdì;;;;;
11/5/22;sabato;;;;;
11/6/22;domenica;;;;;
11/7/22;lunedì;VERDE;;;VERDE;
11/8/22;martedì;;;;;
11/9/22;mercoledì;;;;;
11/10/22;giovedì;;;;;
11/11/22;venerdì;;;;;
11/12/22;sabato;;;;;
11/13/22;domenica;;;;;
11/14/22;lunedì;;VERDE;VERDE;;VERDE
11/15/22;martedì;;;;;
11/16/22;mercoledì;;;;;
11/17/22;giovedì;;;;;
11/18/22;venerdì;;;;;
11/19/22;sabato;;;;;
11/20/22;domenica;;;;;
11/21/22;lunedì;VERDE;;;VERDE;
11/22/22;martedì;;;;;
11/23/22;mercoledì;;;;;
11/24/22;giovedì;;;;;
11/25/22;venerdì;;;;;
11/26/22;sabato;;;;;
11/27/22;domenica;;;;;
11/28/22;lunedì;;VERDE;VERDE;;VERDE
11/29/22;martedì;;;;;
11/30/22;mercoledì;;;;;
12/1/22;giovedì;;;;;
12/2/22;venerdì;;;;;
12/3/22;sabato;;;;;
12/4/22;domenica;;;;;
12/5/22;lunedì;VERDE;;;VERDE;
12/6/22;martedì;;;;;
12/7/22;mercoledì;;;;;
12/8/22;giovedì;;;;;
12/9/22;venerdì;;;;;
12/10/22;sabato;;;;;
12/11/22;domenica;;;;;
12/12/22;lunedì;;VERDE;VERDE;;VERDE
12/13/22;martedì;;;;;
12/14/22;mercoledì;;;;;
12/15/22;giovedì;;;;;
12/16/22;venerdì;;;;;
12/17/22;sabato;;;;;
12/18/22;domenica;;;;;
12/19/22;lunedì;VERDE;;;VERDE;
12/20/22;martedì;;;;;
12/21/22;mercoledì;;;;;
12/22/22;giovedì;;;;;
12/23/22;venerdì;;;;;
12/24/22;sabato;;VERDE;VERDE;;VERDE
12/25/22;domenica;;;;;
12/26/22;lunedì;;;;;
12/27/22;martedì;;;;;
12/28/22;mercoledì;;;;;
12/29/22;giovedì;;;;;
12/30/22;venerdì;;;;;
12/31/22;sabato;;;;;
